Lobbyist_ID,Firstname,Middlename,Lastname,Suffix,Branch,Employer
679,GREGORY,SCOTT,ABEL,,Not currently registered,"Lilly USA, LLC"
632,JOSEPH,,ACCARDO,JR,Legislative and Executive,ports association of Louisiana
1257,THAD,DAVID,ACKEL,JR,Not currently registered,Liberty Lobbying Group L.L.C.
285,BOBBY,(BOB) G,ADAIR,,Not currently registered,Phillips 66 Company
606,ELLIS,PETE,ADAMS,,Legislative and Executive,Louisiana District Attorneys Association
769,JESSE,R,ADAMS,III,Not currently registered,Jones Walker
460,SANDRA,C,ADAMS,,Not currently registered,The Louisiana Coalition for Maternal and Infant Health
306,HERSCHEL,C,ADCOCK,SR,Not currently registered,"Herschel C. Adcock, Sr."
1029,PAUL,J,ADELMAN,,Not currently registered,Paul J Adelman
880,DAN,,AJA,,Not currently registered,"Boehringer Ingelheim Pharmaceuticals, Inc."
188,JEFF,,ALBRIGHT,,Legislative and Executive,"Independent Insurance Agents & Brokers of Louisiana, Inc."
1373,RYAN,,ALDRIDGE,,Legislative and Executive,SAS Institute Inc
6,KENNETH,EARL,ALEXANDER,,Legislative and Executive,Louisiana Hospital Association
431,LEE,ANN,ALEXANDER,,Executive,Liberty Mutual Insurance
1149,NICOLE,B,ALEXANDER,,Not currently registered,"Novo Nordisk, Inc"
1193,XAVIER,I,ALEXANDER,,Not currently registered,"Elite Change,LLC"
413,RAUL,,ALLEGUE,,Not currently registered,"The Travelers Companies, Inc. and Subsidiaries"
700,WADE,LEE,ALLEMAN,,Not currently registered,Occidental Chemical Corporation
1413,BRIAN,,ALLEN,,Legislative and Executive,"Progressive Medical, Inc./StoneRiver Pharmacy Solutions"
993,SIDNEY,,ALLEN,JR,Not currently registered,Comcast
611,DON,,ALLISON,,Legislative,"Advantous Consulting, L.L.C."
1913,RAYMOND,,ALLMON,,Local,"Stand For Children, Inc"
189,RENEE,S,AMAR,,Legislative and Executive,Louisiana Association of Business and Industry
1160,CHRISTY,,ANDERSON,,Not currently registered,Cox Communications
337,MICHAEL,P,ANDREWS,,Not currently registered,Nomura Asset Management U.S.A. Inc.
953,RICHARD,,ANDREWS,,Not currently registered,"International Business Machines Corporation (""IBM"")"
877,THERESA,,ANKAMAH,,Not currently registered,"Boehringer Ingelheim Pharmaceuticals, Inc."
391,JENNIFER,,ANSARDI,,Legislative and Executive and Local,"Government Consulting Group, LLC"
1046,CRAIG,,ANZLOVAR,,Not currently registered,Pyramis Global Advisors Holding Corp.
543,ROBERT,KYLE,ARDOIN,,Not currently registered,Concrete & Aggregates Association of Louisiana
1390,ETHAN,,ASHLEY,,Not currently registered,Juvenile Justice Project of Louisiana
268,ALTON,,ASHY,,Legislative and Executive,Advanced Strategies Inc.
1594,FORD,REILLEY,ATHMANN,,Not currently registered,"The Picard Group, LLC"
191,ROSS,BARNETT,ATKINS,,Not currently registered,Louisiana Mid-Continent Oil and Gas Association
2185,JAMES,WESLEY,AVETT,,Executive,SAS Institute Inc.
432,LIGIA,BETSABE,AYALA,,Not currently registered,Livingston Youth and Family Counseling
724,JOSEPH,,AYMOND,,Not currently registered,CenterPoint Energy
847,DENISE,FRUGE,BABAZ,,Not currently registered,"Sasol North America, Inc."
1217,ALLA,,BABIKOVA,,Not currently registered,Nomura Asset Management U.S.A. Inc.
907,JAMES,A,BABST,,Not currently registered,"Wegmann & Babst, LLC"
1543,TOM,,BACHNER,,Executive,"Bridgewater Associates, LP"
2078,ELLEN,CRONIN,BADEAUX,,Legislative,"Ellen Cronin Badeaux, LLC"
123,NORMA,ELIZABETH,BAKER,,Not currently registered,Regional Healthcare Group
1187,KAYSEN,,BALA,,Not currently registered,Novo Nordisk Inc.
725,CHRISTINE,,BALDRIDGE,,Not currently registered,The Dow Chemical Company
